session_id,session_date,scheduled_start,session_name,platform,employee_id,employee_name,employee_email,department,attendance_status,minutes_attended
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Teams,101,Alice Popescu,alice.popescu@example.com,Data,Absent,0
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Teams,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Late,20
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Zoom,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,30
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Teams,104,Dan Marin,dan.marin@example.com,Operations,Present,30
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Zoom,105,Elena Radu,elena.radu@example.com,Data,Present,30
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Teams,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,30
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Teams,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,30
S20260401-001,2026-04-01,2026-04-01 09:00,Daily Standup,Teams,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,30
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Zoom,101,Alice Popescu,alice.popescu@example.com,Data,Present,60
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Zoom,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,60
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Teams,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,60
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Teams,104,Dan Marin,dan.marin@example.com,Operations,Present,60
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Zoom,105,Elena Radu,elena.radu@example.com,Data,Present,60
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Teams,106,Filip Stoica,filip.stoica@example.com,Engineering,Late,50
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Teams,107,Georgia Pavel,georgia.pavel@example.com,HR,Late,50
S20260402-002,2026-04-02,2026-04-02 09:00,ETL Lab,Zoom,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,60
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Teams,101,Alice Popescu,alice.popescu@example.com,Data,Present,30
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Zoom,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,30
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Zoom,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,30
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Teams,104,Dan Marin,dan.marin@example.com,Operations,Late,20
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Zoom,105,Elena Radu,elena.radu@example.com,Data,Present,30
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Zoom,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,30
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Zoom,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,30
S20260402-003,2026-04-02,2026-04-02 09:00,Daily Standup,Zoom,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,30
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Zoom,101,Alice Popescu,alice.popescu@example.com,Data,Late,50
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Zoom,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,60
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Teams,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,60
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Teams,104,Dan Marin,dan.marin@example.com,Operations,Late,50
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Zoom,105,Elena Radu,elena.radu@example.com,Data,Present,60
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Zoom,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,60
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Zoom,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,60
S20260403-004,2026-04-03,2026-04-03 09:00,Attendance Check-in,Zoom,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,60
S20260406-005,2026-04-06,2026-04-06 09:00,ETL Lab,Teams,101,Alice Popescu,alice.popescu@example.com,Data,Present,60
S20260406-005,2026-04-06,2026-04-06 09:00,ETL Lab,Zoom,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,60
S20260406-005,2026-04-06,2026-04-06 09:00,ETL Lab,Zoom,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,60
