session_id,session_date,scheduled_start,session_name,platform,employee_id,employee_name,employee_email,department,attendance_status,minutes_attended
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Zoom,101,Alice Popescu,alice.popescu@example.com,Data,Present,30
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Teams,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,30
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Teams,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,30
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Teams,104,Dan Marin,dan.marin@example.com,Operations,Present,30
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Teams,105,Elena Radu,elena.radu@example.com,Data,Present,30
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Teams,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,30
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Zoom,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,30
S20260302-001,2026-03-02,2026-03-02 09:00,Daily Standup,Zoom,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,30
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Zoom,101,Alice Popescu,alice.popescu@example.com,Data,Present,30
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Teams,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,30
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Zoom,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Absent,0
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Zoom,104,Dan Marin,dan.marin@example.com,Operations,Present,30
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Zoom,105,Elena Radu,elena.radu@example.com,Data,Present,30
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Teams,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,30
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Teams,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,30
S20260303-002,2026-03-03,2026-03-03 09:00,Daily Standup,Zoom,108,Horia Munteanu,horia.munteanu@example.com,Operations,Absent,0
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Zoom,101,Alice Popescu,alice.popescu@example.com,Data,Present,60
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Zoom,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Late,50
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Teams,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,60
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Teams,104,Dan Marin,dan.marin@example.com,Operations,Present,60
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Teams,105,Elena Radu,elena.radu@example.com,Data,Present,60
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Teams,106,Filip Stoica,filip.stoica@example.com,Engineering,Late,50
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Zoom,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,60
S20260303-003,2026-03-03,2026-03-03 09:00,SQL Workshop,Zoom,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Teams,101,Alice Popescu,alice.popescu@example.com,Data,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Teams,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Teams,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Teams,104,Dan Marin,dan.marin@example.com,Operations,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Zoom,105,Elena Radu,elena.radu@example.com,Data,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Teams,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Teams,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,60
S20260304-004,2026-03-04,2026-03-04 09:00,SQL Workshop,Teams,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,60
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Teams,101,Alice Popescu,alice.popescu@example.com,Data,Present,60
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Zoom,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Absent,0
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Zoom,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,60
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Zoom,104,Dan Marin,dan.marin@example.com,Operations,Present,60
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Teams,105,Elena Radu,elena.radu@example.com,Data,Present,60
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Zoom,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,60
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Zoom,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,60
S20260305-005,2026-03-05,2026-03-05 09:00,ETL Lab,Zoom,108,Horia Munteanu,horia.munteanu@example.com,Operations,Late,50
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Teams,101,Alice Popescu,alice.popescu@example.com,Data,Present,60
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Teams,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,60
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Teams,103,Carla Dumitrescu,carla.dumitrescu@example.com,Data,Present,60
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Teams,104,Dan Marin,dan.marin@example.com,Operations,Present,60
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Zoom,105,Elena Radu,elena.radu@example.com,Data,Late,50
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Zoom,106,Filip Stoica,filip.stoica@example.com,Engineering,Present,60
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Zoom,107,Georgia Pavel,georgia.pavel@example.com,HR,Present,60
S20260305-006,2026-03-05,2026-03-05 15:00,Mentoring Session,Teams,108,Horia Munteanu,horia.munteanu@example.com,Operations,Present,60
S20260306-007,2026-03-06,2026-03-06 09:00,Daily Standup,Zoom,101,Alice Popescu,alice.popescu@example.com,Data,Present,30
S20260306-007,2026-03-06,2026-03-06 09:00,Daily Standup,Zoom,102,Bogdan Ionescu,bogdan.ionescu@example.com,Engineering,Present,30
